dog_code,Dirofilaria,Agey,Sex,Mental,HR,RR,MM,CRT,temp_F,BCS,WBC,LYM,LYMPER,MID,MIDP,GRAN,GRANP,RBC,HGB,HCT,MCV,MCH,MCHC,RDW,PLT,MPV,SEG,BAND,LYMP,MONO,EOSIN,BASO,VARLYM,hhid,communidad,waypoint,latitude,longitude,GPS_lat,GPS_long,longitude,altitude
PN013-122,Neg,6,F,Alert,104,Normal,.,.,101.6,5,24.5,16.3,66.4,4.3,17.5,3.9,16.1,5.82,13.8,41.3,70.9,23.7,33.4,16.2,149,0,67,0,23,0,10,0,.,PN013,Pueblo Nuevo,8.891723 -79.962051 182.9739137039167 8,8.891723,-79.962051,8.89082199,-79.96229603,-79.962051,182.9739137
PN014-123,Neg,1,M,Alert,120,Normal,0,0,103,3,7.3,4.5,61.1,1.7,23.3,1.1,15.6,5.26,9.8,28.8,54.7,18.6,34,18.6,31,0,80,0,12,4,4,0,.,PN014,,,,,,,,
PN014-124,Neg,4,M,Alert,152,Normal,0,0,104.1,2,6.8,5.2,76.3,1.1,15.8,0.5,7.9,4.78,8.1,24.1,50.5,16.9,33.6,17,46,0,73,0,17,4,6,0,.,PN014,,,,,,,,
PN014-125,Neg,0.5,M,"Stressed, aggressive",120,Normal,0,0,103.3,1,15.7,11.1,70.5,2.9,18.6,1.7,10.9,4.55,9.2,27.8,61.2,20.2,33.1,16.1,15,0,55,0,33,5,7,0,.,PN014,,,,,,,,
PN014-126,Neg,10,M,Alert,100,0,Pale,Normal,102.5,4,6.4,4.1,64.4,1.7,26.8,0.6,8.8,2.86,6.5,18.3,64,22.7,35.5,17.3,120,0,75,2,10,7,6,0,.,PN014,,,,,,,,
PN015-127,Neg,4,M,"Alert, slightly stressed",104,Normal,Pale,.,103,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN015,Pueblo Nuevo,8.891383 -79.96668 195.9710859862227 24,8.891383,-79.96668,8.891104041,-79.966763,-79.96668,195.971086
PN016-128,Neg,2,F,Alert,80,Normal,Normal,Normal,102.6,4,17.2,13.9,81.1,2.3,13.6,0.9,5.3,4.2,9.6,28.3,67.3,22.9,33.9,16,96,0,63,0,31,2,3,1,.,PN016,,,,,,,,
PN017-129,Neg,NA,F,Alert,100,Normal,Normal,Normal,101.7,5,22.1,13.9,62.9,3.5,16,4.7,21.1,5.95,14.1,44.1,74.1,23.7,32,15.4,134,0,59,0,35,0,6,0,.,PN017,Pueblo Nuevo,8.895854 -79.962268 205.15928732612798 12,8.895854,-79.962268,8.896009969,-79.96215999,-79.962268,205.1592873
PN017-130,Neg,2,F,Alert,88,Normal,.,.,101.5,4,9.2,6.7,73.3,1.3,14.6,1.1,12.1,4.58,10.4,32.6,71.2,22.7,31.9,15.8,52,0,69,0,29,2,0,0,.,PN017,Pueblo Nuevo,8.895854 -79.962268 205.15928732612798 12,8.895854,-79.962268,8.896009969,-79.96215999,-79.962268,205.1592873
PN017-137,Neg,5,M,Stressed,88,.,Muzzle,Muzzle,101.9,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,PN017,Pueblo Nuevo,8.895854 -79.962268 205.15928732612798 12,8.895854,-79.962268,8.896009969,-79.96215999,-79.962268,205.1592873
PN018-131,Neg,0.4,m,Alert,168,Normal,Normal,Normal - bright,104.7,4.5,14.1,10.3,73.4,3,21,0.8,5.6,4.02,8.2,25.2,62.6,20.4,32.5,17.1,15,.,62,.,34,1,2,1,.,PN018,Pueblo Nuevo,8.896275 -79.961415 197.3268737698852 16,8.896275,-79.961415,8.895991025,-79.961341,-79.961415,197.3268738
PN018-132,Neg,.,M,Alert,108,.,.,.,102.5,5,11.2,6.9,61.9,2.3,20.2,2,17.9,5.07,11.2,35,69.1,22.1,32,15.9,12,0,43,0,44,3,10,0,.,PN018,Pueblo Nuevo,8.896275 -79.961415 197.3268737698852 16,8.896275,-79.961415,8.895991025,-79.961341,-79.961415,197.3268738
PN019-133,0,1.5,M,Alert,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN019,,,,,,,,
PN020-134,Neg,5,M,Alert,100,Normal,Normal,Normal,102.6,4,11.1,7.1,64,2,17.6,2,18.4,6.54,14,43.6,66.6,21.4,32.1,17.8,58,0,68,0,24,6,1,0,1,PN020,Pueblo Nuevo,8.89029 -79.96479 197.05450566616776 12,8.89029,-79.96479,8.890231987,-79.96472502,-79.96479,197.0545057
PN021-135,0,1,M,Alert,150,Normal,Pale,0,103.3,2,9.1,6.7,73.9,1.3,13.8,1.1,12.3,4.34,9.7,30.5,70.2,22.4,31.8,17.7,80,0,49,0,32,9,10,0,.,PN021,,,,,,,,
PN021-136,0,2,M,"Alert, stressed",112,Coughing,0,0,101.7,4,15.2,10.1,66.5,2.3,15.4,2.8,18.1,6.67,14.3,45.6,68.3,21.4,31.4,16.2,203,0,47,4,31,2,16,0,.,PN021,,,,,,,,
PN022-138,Neg,3,M,"Alert, scared",117,.,.,.,101.9,5.5,15.8,12.6,79.6,2.2,14.1,1,6.3,6.49,14.2,44.3,68.2,21.9,32.1,15.6,23,0,79,0,13,7,1,0,.,PN022,Pueblo Nuevo,8.8986 -79.961797 160.5478508158575 8,8.8986,-79.961797,8.898458993,-79.961615,-79.961797,160.5478508
PN023-139,Neg,3,M,"Alert, stressed",124,0,Muzzle,Muzzle,101.6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN023,,,,,,,,
PN023-140,0,4,F,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN023,,,,,,,,
PN024-141,Neg,2,M,"Alert, angry",108,Normal,.,.,101.3,3,22.6,12.2,54.2,4.9,21.5,5.5,24.3,5.9,14.1,43.8,74.2,23.9,32.2,14.9,176,10.1,62,0,16,1,21,0,.,PN024,Pueblo Nuevo,8.914943 -79.972377 224.9110926255481 32,8.914943,-79.972377,8.914888026,-79.97220201,-79.972377,224.9110926
PN024-142,Neg,NA,M,"Alert, calm",.,Normal,Muzzle,Muzzle,102,3.5,19.2,10.9,57,3.7,19.3,4.6,23.7,0,17.4,0,71.2,0,0,16.2,0,0,54,0,16,10,17,1,2,PN024,Pueblo Nuevo,8.914943 -79.972377 224.9110926255481 32,8.914943,-79.972377,8.914888026,-79.97220201,-79.972377,224.9110926
PN024-143,0,0.25,M,"Alert, playful",180,Normal,.,.,102.7,4,14.9,12.8,86.2,1,6.7,1,7,4.31,10.7,43.7,101.5,24.8,24.5,15.4,244,9.6,44,0,40,6,10,0,.,PN024,Pueblo Nuevo,8.914943 -79.972377 224.9110926255481 32,8.914943,-79.972377,8.914888026,-79.97220201,-79.972377,224.9110926
PN025-144,Neg,2,M,Alert,88,Normal,.,.,101.7,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN025,Pueblo Nuevo,8.920123 -79.977489 276.45351756537207 24,8.920123,-79.977489,8.920252025,-79.97733702,-79.977489,276.4535176
PN025-145,0,2,M,Alert,72,Normal,.,.,102.7,4,23.3,14.7,62.9,3.2,13.8,5.4,23.3,6.28,14.8,45,71.7,23.6,32.9,15.6,155,0,43,0,24,3,29,0,1,PN025,Pueblo Nuevo,8.920123 -79.977489 276.45351756537207 24,8.920123,-79.977489,8.920252025,-79.97733702,-79.977489,276.4535176
PN026-146,Neg,99,M,Bright and alert,100,Normal,0,0,102.7,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,PN026,Pueblo Nuevo,8.912286 -79.976645 235.17755724496956 12,8.912286,-79.976645,8.912277985,-79.97645399,-79.976645,235.1775572
PN026-147,0,6,M,Very stressed,.,.,.,.,103.9,7,10.9,7.6,69.8,2.3,21.5,0.9,8.7,HIGH,16.7,.,67.6,.,.,17.2,HIGH,.,75,.,19,6,.,.,.,PN026,Pueblo Nuevo,8.912286 -79.976645 235.17755724496956 12,8.912286,-79.976645,8.912277985,-79.97645399,-79.976645,235.1775572
CA001-148,0,14,M,Alert,88,Normal,Muzzle,Muzzle,102.7,2,12.9,10,77.9,2.2,16.9,0.7,5.2,4.01,9,26.7,66.5,22.4,33.7,18,109,0,676,0,24,9,0,0,.,CA001,Ca帶zas,8.839678 -79.964523 262.07581398575167 24,8.839678,-79.964523,8.839874016,-79.96258898,-79.964523,262.075814
CA002-149,0,4,M,Very stressed,82,Normal,.,.,102.6,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CA002,Ca帶zas,8.839543 -79.963716 214.08356096530096 48,8.839543,-79.963716,8.839397002,-79.96354703,-79.963716,214.083561
CA003-150,Light Pos,13,M,Alert,120,Normal,Muzzle,Muzzle,105.3,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CA003,Ca帶zas,8.84161 -79.962213 217.30749217094223 48,8.84161,-79.962213,8.841618961,-79.96217902,-79.962213,217.3074922
CA004-151,Neg,3,M,Alert,.,.,Muzzle,Muzzle,102,2.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CA004,Ca帶zas,8.839963 -79.964161 224.8772727988506 24,8.839963,-79.964161,8.839872004,-79.96442696,-79.964161,224.8772728
CA004-152,Neg,3,M,Alert,100,Normal,Muzzle,Muzzle,102,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CA004,Ca帶zas,8.839963 -79.964161 224.8772727988506 24,8.839963,-79.964161,8.839872004,-79.96442696,-79.964161,224.8772728
CA005-153,Neg,NA,M,Alert,74,Normal,Normal,Normal,102.3,3,21.9,17.4,79.6,3.2,14.7,1.2,5.7,4.05,9,27.2,67.2,22.2,33.1,18.9,32,0,27,0,61,6,4,0,2,CA005,Ca帶zas,8.84 -79.964748 242.3376961278696 6,8.84,-79.964748,8.839830011,-79.96472997,-79.964748,242.3376961
CA006-154,Neg,7,M,Alert,88,.,Muzzle,Muzzle,101.4,4,18.2,9.9,54.5,3.7,20.6,4.5,24.9,4.23,9.5,26.4,62.4,22.5,36,17.9,87,0,47,1,33,3,16,0,.,CA006,Ca帶zas,8.839717 -79.964644 270 0,8.839717,-79.964644,8.839575034,-79.96468898,-79.964644,270
CA006-155,Neg,2,M,Alert,84,.,Muzzle,Muzzle,101.8,4,21.9,14,63.9,4.5,20.6,3.4,15.5,4.88,10.6,31.7,64.9,21.7,33.4,17.5,196,0,55,0,37,0,8,0,.,CA006,Ca帶zas,8.839717 -79.964644 270 0,8.839717,-79.964644,8.839575034,-79.96468898,-79.964644,270
CA007-156,Neg,0.4,M,Alert,80,Normal,0,0,105.3,5,15.4,9.3,60.4,2.6,17.1,3.5,22.5,4.37,10.5,29.8,68.1,24,35.2,14.9,388,12.2,45,3,25,10,16,0,1,CA007,,,,,,,,
CA007-157,Neg,0.3,M,Alert,128,Normal,0,0,102.3,3,14.7,11,74.7,2,13.7,1.7,11.6,5.35,11.8,32.9,61.5,22.1,35.9,19.6,331,0,40,0,43,12,5,0,.,CA007,,,,,,,,
CA007-158,Neg,2.7,M,Alert,88,Normal,0,0,101,2.75,20.2,9.3,45.9,3.9,19.5,7,34.6,5.6,12.7,36.5,65.1,22.7,34.8,16.5,130,0,43,0,24,4,29,0,.,CA007,,,,,,,,
CA008-159,0,3,F,Alert,82,Normal,Muzzle,Muzzle,102.3,5,25.6,21.8,85.2,2.1,8.2,1.7,6.6,6.1,13.8,37.9,62.1,22.6,36.4,17.4,167,0,36,0,59,3,2,0,.,CA008,Ca帶zas,8.838774 -79.963767 232.32249970336326 32,8.838774,-79.963767,8.838595022,-79.96385196,-79.963767,232.3224997
CA008-160,0,10,M,Alert,100,Normal,.,.,101.6,7,12.7,9.1,71.6,2.6,20.2,1,8.2,1.95,3.7,13.5,69,19,27.4,38.3,100,0,84,0,14,2,0,0,.,CA008,Ca帶zas,8.838774 -79.963767 232.32249970336326 32,8.838774,-79.963767,8.838595022,-79.96385196,-79.963767,232.3224997
CA009-161,Neg,1,M,"Alert, stressed",88,Normal,Muzzle,Muzzle,102.9,6,27.4,20.4,74.4,4.1,15,2.9,10.6,5.08,9.7,25.1,49.5,19.1,38.6,27.3,372,0,63,0,25,3,7,0,2,CA009,Ca帶zas,8.838571 -79.96416 231.33015056187148 24,8.838571,-79.96416,8.838601565,-79.96426647,-79.96416,231.3301506
CA009-162,0,9,M,NA,116,0,Muzzle,Muzzle,102.9,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CA009,Ca帶zas,8.838571 -79.96416 231.33015056187148 24,8.838571,-79.96416,8.838601565,-79.96426647,-79.96416,231.3301506
CA010-163,Neg,NA,M,Alert,100,Normal,.,.,103.6,1,20.8,15,71.9,3.6,17.1,2.3,11,5.96,11.4,31.6,53.1,19.1,36.1,22.1,211,0,56,0,25,6,13,0,.,CA010,Ca帶zas,8.838254 -79.964535 255.58243428951377 16,8.838254,-79.964535,8.838182967,-79.964649,-79.964535,255.5824343
CA010-164,Neg,NA,F,Alert,84,Slightly labored,.,.,103.6,2,16.4,9.3,56.6,2.8,16.8,4.4,26.6,5.65,11.8,33.8,59.8,20.9,34.9,16.9,194,0,47,0,14,4,35,0,.,CA010,Ca帶zas,8.838254 -79.964535 255.58243428951377 16,8.838254,-79.964535,8.838182967,-79.964649,-79.964535,255.5824343
CA010-165,Neg,NA,F,Alert,114,Normal,.,.,.,2,21.8,14.3,65.8,3.1,14,4.4,20.2,5.51,11.1,31.7,57.5,20.1,35,18.4,184,0,50,0,19,3,28,0,.,CA010,Ca帶zas,8.838254 -79.964535 255.58243428951377 16,8.838254,-79.964535,8.838182967,-79.964649,-79.964535,255.5824343
CA010-166,Neg,99,F,Alert,124,Normal,Pale,Normal,103.7,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CA010,Ca帶zas,8.838254 -79.964535 255.58243428951377 16,8.838254,-79.964535,8.838182967,-79.964649,-79.964535,255.5824343
