dog_code,Dirofilaria,Agey,Sex,Mental,HR,RR,MM,CRT,temp_F,BCS,WBC,LYM,LYMPER,MID,MIDP,GRAN,GRANP,RBC,HGB,HCT,MCV,MCH,MCHC,RDW,PLT,MPV,SEG,BAND,LYMP,MONO,EOSIN,BASO,VARLYM,hhid,communidad,waypoint,latitude,longitude,GPS_lat,GPS_long,longitude,altitude
SC007-504,Very light Pos ,3,M,Normal,104,Normal,Normal,Normal,101.9,3,16.75,3.31,19.7,0.99,5.9,12.45,74.3,6.19,13,36.09,58,21,36,19.9,105,14.5,68,0,23,3,4,.,2,SC007,Superacion Campesino,9.164617 -79.149027 30.600000381469727 10.5,9.164617,-79.149027,9.164523,-79.149055,-79.149027,30.60000038
SC008-604,Neg,7,M,Normal,48,Normal,Normal,Normal,101.4,1.5,13.76,6.17,44.9,2.81,20.4,4.78,34.7,4.68,10.6,29.77,64,22.7,35.7,16.2,75,8.8,52,0,41,4,3,.,.,SC008,Superacion Campesino,9.164251 -79.148418 3.200000047683716 10,9.164251,-79.148418,9.164248,-79.148383,-79.148418,3.200000048
SC009-505,Very light Pos ,1,M,Normal,128,Normal,slightly pale,Normal,101.4,4,6.86,0,0.1,0.33,4.9,6.52,95.1,4.08,9.1,25.7,63,22.3,35.4,18.5,65,10.6,86,0,14,0,0,.,.,SC009,Superacion Campesino,0,9.18765,-79.16953333,9.18765,-79.169534,-79.16953333,0
SC010-605,Very light Pos ,4,M,Normal (nervous),100,40,pale,Normal,103.2,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,SC010,Superacion Campesino,9.163501 -79.149794 3.700000047683716 10.5,9.163501,-79.149794,9.163529,-79.149187,-79.149794,3.700000048
SC010-606,Neg,4,F,Normal (nervous),108,96,Normal,Normal,101.4,6,12.68,6.75,53.2,1.47,11.6,4.46,35.2,6.78,16.1,45.17,67,23.7,35.6,15,66,8.8,56,0,28,12,4,.,.,SC010,Superacion Campesino,9.163501 -79.149794 3.700000047683716 10.5,9.163501,-79.149794,9.163529,-79.149187,-79.149794,3.700000048
SC011-506,Very light Pos ,2,M,scared,.,Normal,.,.,.,3.5,21.71,10.74,49.5,1.7,7.8,9.27,42.7,4.9,10.7,30.32,62,21.9,35.3,17.9,61,12,37,0,54,5,4,.,.,SC011,Superacion Campesino,0,9.18265,-79.17081667,9.182651,-79.170809,-79.17081667,0
SC012-607,Very light Pos ,3,F,Normal,80,40,pale,Normal,102,5.5,6.13,3.22,52.6,1.41,23,1.5,24.4,4.24,8.9,25.47,60,21,34.9,17.8,47,12.5,35,0,60,3,2,.,.,SC012,Superacion Campesino,9.164289 -79.148123 1.399999976158142 16,9.164289,-79.148123,9.164424,-79.147976,-79.148123,1.399999976
SC013-507,Very light Pos ,1,F,Normal,76,Normal,Normal,Normal,100.9,3,6.8,2.18,32,1.33,19.6,3.29,48.4,5.11,9.7,26.43,52,19,36.6,19.7,130,17.3,77,0,19,3,1,.,.,SC013,Superacion Campesino,0,9.180233333,-79.16885,9.180227,-79.16885,-79.16885,0
SC013-508,Neg,0,F,Normal,146,Normal,Normal,Normal,103.5,2.5,7.11,0.76,10.6,1.19,16.8,5.16,72.6,2.66,5.3,14.42,54,20,36.9,19.9,54,15.6,68,0,30,2,0,.,.,SC013,Superacion Campesino,0,9.180233333,-79.16885,9.180227,-79.16885,-79.16885,0
SC014-608,Neg,1,M,Normal,92,32,Normal,Normal,102.5,1,8.6,0.89,10.4,0.79,9.2,6.92,80.4,3.54,7.1,20.28,57,20.2,35.2,18.7,62,9,80,0,13,4,3,.,.,SC014,Superacion Campesino,9.164176 -79.147694 6.900000095367432 23,9.164176,-79.147694,9.164458,-79.147664,-79.147694,6.900000095
SC014-609,Very light Pos ,3,F,Normal,80,20,Normal,Normal,101.5,3,6.74,1.31,19.4,0.81,12.1,4.62,68.5,6.21,14.6,41.17,66,23.5,35.5,15.7,138,9.9,68,28,4,0,0,.,.,SC014,Superacion Campesino,9.164176 -79.147694 6.900000095367432 23,9.164176,-79.147694,9.164458,-79.147664,-79.147694,6.900000095
SC014-610,Neg,3,F,Normal,60,Normal,Normal,Normal,102.1,1,16.97,11.2,66,4.33,25.5,1.43,8.4,6.3,14,37.94,60,22.3,37,16.3,334,8,37,0,60,2,1,.,.,SC014,Superacion Campesino,9.164176 -79.147694 6.900000095367432 23,9.164176,-79.147694,9.164458,-79.147664,-79.147694,6.900000095
SC015-509,Neg,6,F,Normal,96,Normal,Normal,Normal,101.1,5,5.1,0.53,10.4,0.8,15.6,3.77,74,7.78,16.4,44.77,58,21.1,36.6,16.6,91,11.8,65,0,22,4,9,.,.,SC015,Superacion Campesino,0,9.164466667,-79.14755,9.164464,-79.147555,-79.14755,0
